class_idx,selection_count
0,2041
1,2048
2,2048
3,2048
4,2048
5,2048
6,2048
7,2048
8,2048
9,2048
10,2048
11,2048
12,2048
13,2048
14,2048
15,2048
16,2048
17,2048
18,2048
19,2048
20,2048
21,2046
22,2036
23,2046
24,2048
25,2048
26,2048
27,2047
28,2048
29,2048
30,2048
31,2048
32,2048
33,2048
34,2048
35,2047
36,2048
37,2048
38,2048
39,2048
40,2047
41,2048
42,2048
43,2048
44,1941
45,2048
46,2048
47,2048
48,2048
49,2048
50,2047
51,2048
52,2048
53,2048
54,2048
55,2048
56,2048
57,2048
58,2048
59,2048
60,1806
61,2047
62,1990
63,2048
64,2048
65,2048
66,2038
67,1913
68,2024
69,2048
70,2048
71,2048
72,2006
73,2048
74,2046
75,2047
76,2048
77,2048
78,2048
79,2048
80,2043
81,2048
82,2048
83,2048
84,2048
85,2045
86,2048
87,2048
88,2048
89,2048
90,2048
91,2048
92,2048
93,2047
94,2048
95,2048
96,2048
97,1784
98,1662
99,2026
100,2047
101,2048
102,2048
103,2043
104,2048
105,2048
106,2048
107,2048
108,2048
109,2048
110,2048
111,2048
112,2048
113,2048
114,2048
115,2048
116,2048
117,2048
118,2048
119,2048
120,2048
121,2048
122,2048
123,2048
124,2048
125,2048
126,2048
127,2047
128,2048
129,2045
130,2048
131,2048
132,2048
133,2048
134,2044
135,2048
136,2047
137,1992
138,2048
139,1728
140,1470
141,2047
142,2009
143,1981
144,1982
145,2048
146,2047
147,2048
148,2048
149,2048
150,2048
151,1969
152,1941
153,322
154,226
155,1179
156,219
157,1739
158,1616
159,793
160,2048
161,183
162,851
163,188
164,561
165,46
166,150
167,219
168,465
169,2048
170,386
171,2048
172,2046
173,2048
174,1709
175,1936
176,2048
177,1987
178,1982
179,2046
180,1806
181,2041
182,909
183,2003
184,438
185,1492
186,1831
187,1961
188,1647
189,638
190,1305
191,616
192,1888
193,1020
194,143
195,1573
196,337
197,828
198,270
199,1328
200,104
201,2043
202,962
203,1599
204,236
205,1419
206,1974
207,74
208,1215
209,1535
210,2044
211,1991
212,1814
213,2000
214,750
215,1969
216,996
217,954
218,1623
219,354
220,209
221,1740
222,946
223,2030
224,2043
225,1586
226,1272
227,1981
228,2048
229,2037
230,510
231,1924
232,1734
233,2044
234,602
235,432
236,892
237,1446
238,415
239,581
240,684
241,107
242,977
243,552
244,352
245,1326
246,2010
247,651
248,493
249,1295
250,1528
251,2047
252,54
253,1582
254,2024
255,825
256,1636
257,667
258,2036
259,1048
260,319
261,1485
262,894
263,2038
264,907
265,1922
266,750
267,2024
268,2048
269,2048
270,2017
271,1940
272,2034
273,2048
274,2037
275,2026
276,2048
277,1924
278,2024
279,2048
280,2048
281,1938
282,313
283,2044
284,1999
285,2046
286,2048
287,1876
288,2047
289,2045
290,2047
291,2041
292,1631
293,2048
294,2043
295,2048
296,2048
297,2042
298,2048
299,2048
300,2031
301,2048
302,1962
303,2045
304,2048
305,2048
306,2048
307,2041
308,2037
309,2048
310,2048
311,2016
312,1817
313,2048
314,2048
315,2048
316,2048
317,2048
318,2048
319,2048
320,2048
321,2048
322,2048
323,2048
324,2048
325,2048
326,2048
327,2048
328,2048
329,2048
330,2047
331,2048
332,2048
333,2048
334,2048
335,2048
336,2048
337,2048
338,2043
339,2048
340,2048
341,2048
342,2048
343,2048
344,2048
345,2048
346,2048
347,2048
348,2048
349,2048
350,2048
351,2048
352,2048
353,2048
354,2048
355,2048
356,2048
357,2048
358,2048
359,2033
360,2048
361,2048
362,2048
363,2048
364,2048
365,1650
366,2042
367,2048
368,1679
369,1925
370,1970
371,1536
372,1814
373,2004
374,1990
375,1896
376,2047
377,2048
378,2014
379,2048
380,2048
381,2044
382,1780
383,2047
384,2048
385,2048
386,2042
387,2048
388,1997
389,2048
390,2048
391,2048
392,2048
393,2046
394,2048
395,2048
396,2048
397,2048
398,2048
399,2048
400,2043
401,2048
402,2048
403,2048
404,2045
405,2048
406,2048
407,2048
408,2047
409,2048
410,2048
411,2048
412,2048
413,2048
414,2048
415,2048
416,2048
417,2048
418,2048
419,2048
420,2048
421,2048
422,2048
423,2048
424,2048
425,2048
426,2048
427,2048
428,2048
429,2048
430,2048
431,2045
432,2048
433,2048
434,2048
435,2048
436,2004
437,2048
438,2048
439,2048
440,2048
441,2048
442,2048
443,2048
444,2047
445,2048
446,2048
447,2048
448,2048
449,2048
450,2048
451,2048
452,2048
453,1922
454,2003
455,2048
456,2048
457,2048
458,2048
459,2048
460,2048
461,2048
462,2048
463,2048
464,2048
465,2048
466,2048
467,2048
468,1615
469,2048
470,2048
471,2048
472,2048
473,2048
474,2048
475,2048
476,2048
477,2048
478,2048
479,2048
480,2048
481,2048
482,2044
483,2048
484,2044
485,2048
486,2046
487,2048
488,2048
489,2048
490,2048
491,2048
492,2048
493,2048
494,2048
495,2038
496,2048
497,1988
498,2048
499,2048
500,2048
501,2048
502,2048
503,2048
504,2048
505,2048
506,2048
507,2048
508,2048
509,2048
510,2048
511,1570
512,2048
513,2048
514,2048
515,2014
516,2046
517,2048
518,2048
519,2048
520,1995
521,2048
522,2048
523,2048
524,2048
525,2048
526,2047
527,1645
528,2048
529,2048
530,2048
531,2048
532,2048
533,2048
534,2048
535,2048
536,1978
537,2048
538,2048
539,2048
540,2048
541,2048
542,2048
543,2048
544,2048
545,2048
546,2048
547,2048
548,2035
549,2048
550,2048
551,2048
552,2048
553,2048
554,2048
555,2047
556,2048
557,2048
558,2048
559,2048
560,2048
561,2048
562,2048
563,2048
564,2046
565,2048
566,2048
567,2048
568,2048
569,2048
570,2046
571,2048
572,2048
573,2047
574,2048
575,2048
576,2048
577,2048
578,2046
579,2048
580,2048
581,1773
582,2048
583,2048
584,2048
585,2048
586,2047
587,2048
588,2048
589,2048
590,2048
591,2048
592,2048
593,2048
594,2048
595,2048
596,2048
597,2048
598,2046
599,2048
600,2048
601,2048
602,2048
603,2048
604,2048
605,2048
606,2048
607,2048
608,2048
609,2034
610,2048
611,2048
612,1983
613,2048
614,2046
615,2048
616,2048
617,2048
618,2048
619,2048
620,2047
621,2048
622,2048
623,2048
624,2047
625,2048
626,2048
627,2039
628,2048
629,2048
630,2031
631,2048
632,2048
633,2048
634,2048
635,2048
636,2048
637,2048
638,2048
639,2043
640,2048
641,2048
642,2048
643,2048
644,2048
645,2048
646,2048
647,2048
648,2048
649,2048
650,2048
651,2027
652,2045
653,2048
654,1657
655,2043
656,343
657,2048
658,2048
659,2048
660,2047
661,2037
662,2048
663,2043
664,2048
665,1982
666,2048
667,2017
668,2048
669,2048
670,2048
671,2048
672,2048
673,2048
674,2048
675,2048
676,2048
677,2048
678,2048
679,2048
680,2048
681,1889
682,2048
683,2048
684,2048
685,2048
686,2048
687,2048
688,2048
689,2046
690,2048
691,2048
692,2048
693,2048
694,2048
695,2048
696,2048
697,2048
698,2048
699,2048
700,2048
701,2048
702,2048
703,2048
704,2048
705,2048
706,2048
707,2048
708,2048
709,2048
710,2048
711,2048
712,2048
713,2048
714,2048
715,2048
716,2048
717,596
718,2048
719,2048
720,2048
721,2048
722,2048
723,2048
724,2048
725,2048
726,2048
727,2048
728,2048
729,2048
730,2048
731,2048
732,2048
733,2048
734,1046
735,2048
736,2048
737,2048
738,2048
739,2048
740,2048
741,2048
742,2048
743,2048
744,2048
745,2048
746,2048
747,2048
748,2048
749,2048
750,2048
751,2047
752,2048
753,2048
754,2048
755,2048
756,2048
757,2016
758,2048
759,2048
760,2048
761,2048
762,2048
763,2048
764,2048
765,2048
766,2048
767,2048
768,2048
769,2048
770,2048
771,2048
772,2048
773,2048
774,2048
775,2048
776,2048
777,2048
778,2048
779,1974
780,1972
781,2048
782,2047
783,2048
784,2048
785,2047
786,2048
787,2048
788,2048
789,2048
790,2048
791,2048
792,2048
793,2048
794,2048
795,2048
796,2048
797,2048
798,2048
799,2048
800,2048
801,2048
802,2048
803,2048
804,2048
805,2048
806,2048
807,2048
808,2048
809,2048
810,2048
811,2048
812,2048
813,2048
814,2048
815,2048
816,2048
817,1322
818,2048
819,2048
820,2048
821,2048
822,2048
823,2048
824,2048
825,2048
826,2048
827,2048
828,2048
829,2043
830,2048
831,2048
832,2048
833,2048
834,2043
835,2048
836,2046
837,2047
838,2048
839,2048
840,2048
841,2048
842,2048
843,2048
844,2048
845,2048
846,2048
847,2048
848,2048
849,2048
850,2048
851,2048
852,2048
853,2048
854,2048
855,2048
856,2048
857,2048
858,2048
859,2048
860,2048
861,2048
862,2048
863,2048
864,2037
865,2048
866,2048
867,2048
868,2048
869,1622
870,2048
871,2047
872,2048
873,2045
874,2018
875,2048
876,2048
877,2048
878,2048
879,2048
880,2048
881,2048
882,2048
883,2048
884,2048
885,2048
886,2048
887,2048
888,2048
889,2032
890,2048
891,2048
892,2048
893,2048
894,2048
895,2048
896,2048
897,2048
898,2048
899,2048
900,2048
901,2048
902,2048
903,2048
904,2048
905,2048
906,2048
907,2046
908,2048
909,2048
910,2048
911,2048
912,2048
913,2048
914,1989
915,2048
916,2048
917,2048
918,2048
919,2048
920,2048
921,2048
922,2048
923,2048
924,2048
925,2048
926,2048
927,2048
928,2048
929,2048
930,2048
931,2048
932,2048
933,2048
934,2048
935,2047
936,2048
937,2048
938,2048
939,2048
940,2048
941,2048
942,2048
943,2048
944,2048
945,2048
946,2048
947,2048
948,2048
949,2048
950,2048
951,2048
952,2048
953,2048
954,2048
955,2048
956,2048
957,2048
958,2048
959,2048
960,2048
961,2048
962,2048
963,2048
964,2048
965,2048
966,2048
967,2048
968,2046
969,2048
970,2048
971,2048
972,2048
973,2048
974,2048
975,2048
976,2048
977,2048
978,2048
979,2048
980,2048
981,2048
982,1813
983,2048
984,2048
985,2048
986,2048
987,2048
988,2048
989,2048
990,2048
991,2048
992,2000
993,2048
994,2048
995,2048
996,2048
997,2048
998,2048
999,2048
