class_idx,selection_count
0,2048
1,2048
2,2048
3,2048
4,2048
5,2048
6,2048
7,2048
8,2048
9,2048
10,2047
11,2048
12,2048
13,2047
14,2048
15,2047
16,2047
17,2048
18,2048
19,2045
20,2047
21,2048
22,2048
23,2047
24,2048
25,2048
26,2048
27,2047
28,2048
29,2048
30,2048
31,2048
32,2048
33,2048
34,2048
35,2048
36,2048
37,2048
38,2048
39,2048
40,2048
41,2047
42,2048
43,2046
44,2048
45,2048
46,2048
47,2048
48,2048
49,2048
50,2047
51,2046
52,2048
53,2048
54,2048
55,2048
56,2048
57,2048
58,2048
59,2047
60,2048
61,2048
62,2048
63,2048
64,2048
65,2048
66,2043
67,2048
68,2047
69,2048
70,2048
71,2048
72,2048
73,2048
74,2048
75,2048
76,2048
77,2048
78,2044
79,2048
80,2045
81,2048
82,2048
83,2047
84,2047
85,2047
86,2048
87,2042
88,2045
89,2047
90,2044
91,2048
92,2046
93,2048
94,2048
95,2045
96,2048
97,2048
98,2047
99,2048
100,2046
101,2048
102,2045
103,2047
104,2048
105,2048
106,2048
107,2048
108,2048
109,2048
110,2048
111,2045
112,2048
113,2048
114,2048
115,2048
116,2048
117,2047
118,2048
119,2048
120,2048
121,2048
122,2048
123,2048
124,2048
125,2048
126,2048
127,2048
128,2048
129,2047
130,2045
131,2048
132,2048
133,2048
134,2048
135,2048
136,2048
137,2048
138,2046
139,2048
140,2048
141,2048
142,2048
143,2048
144,2048
145,2047
146,2048
147,2048
148,2046
149,2047
150,2048
151,2048
152,2035
153,2048
154,2048
155,2048
156,2048
157,2048
158,2048
159,2048
160,2048
161,2048
162,2048
163,2047
164,2046
165,2047
166,2048
167,2047
168,2046
169,2048
170,2048
171,2048
172,2048
173,2048
174,2046
175,2047
176,2048
177,2048
178,2046
179,2048
180,2048
181,2048
182,2048
183,2048
184,2048
185,2048
186,2048
187,2048
188,2048
189,2047
190,2047
191,2046
192,2047
193,2048
194,2048
195,2048
196,2048
197,2048
198,2048
199,2048
200,2048
201,2048
202,2048
203,2048
204,2048
205,2048
206,2046
207,2048
208,2048
209,2048
210,2045
211,2047
212,2047
213,2045
214,2048
215,2047
216,2046
217,2048
218,2047
219,2047
220,2045
221,2048
222,2047
223,2048
224,2048
225,2048
226,2048
227,2048
228,2048
229,2048
230,2048
231,2048
232,2048
233,2048
234,2048
235,2046
236,2048
237,2048
238,2048
239,2047
240,2048
241,2048
242,2048
243,2048
244,2047
245,2047
246,2048
247,2043
248,2048
249,2048
250,2048
251,2048
252,2047
253,2048
254,2048
255,2048
256,2048
257,2048
258,2047
259,2048
260,2045
261,2046
262,2047
263,2048
264,2048
265,2048
266,2048
267,2048
268,2045
269,2048
270,2048
271,2048
272,2047
273,2045
274,2047
275,2048
276,2048
277,2048
278,2048
279,2048
280,2048
281,2048
282,2048
283,2048
284,2048
285,2048
286,2046
287,2048
288,2048
289,2048
290,2048
291,2048
292,2048
293,2048
294,2048
295,2048
296,2047
297,2046
298,2048
299,2048
300,2048
301,2048
302,2048
303,2048
304,2048
305,2048
306,2048
307,2048
308,2048
309,2048
310,2048
311,2048
312,2048
313,2048
314,2048
315,2048
316,2048
317,2048
318,2047
319,2048
320,2048
321,2048
322,2046
323,2045
324,2048
325,2043
326,2048
327,2048
328,2048
329,2048
330,2048
331,2048
332,2048
333,2048
334,2047
335,2048
336,2048
337,2048
338,2047
339,2048
340,2043
341,2048
342,2047
343,2048
344,2048
345,2048
346,2048
347,2048
348,2048
349,2048
350,2048
351,2047
352,2048
353,2048
354,2047
355,2048
356,2048
357,2048
358,2048
359,2048
360,2048
361,2048
362,2047
363,2048
364,2048
365,2048
366,2048
367,2048
368,2048
369,2048
370,2048
371,2048
372,2048
373,2048
374,2048
375,2048
376,2048
377,2048
378,2048
379,2048
380,2048
381,2048
382,2048
383,2048
384,2048
385,2048
386,2048
387,2047
388,2047
389,2048
390,2048
391,2048
392,2045
393,2048
394,2048
395,2048
396,2047
397,2048
398,2048
399,2048
400,2048
401,2048
402,2048
403,2048
404,2047
405,2047
406,2048
407,2048
408,2048
409,2048
410,2048
411,2048
412,2048
413,2048
414,2048
415,2048
416,2048
417,2048
418,2048
419,2048
420,2048
421,2048
422,2048
423,2048
424,2048
425,2048
426,2048
427,2048
428,2048
429,2048
430,2046
431,2048
432,2048
433,2048
434,2047
435,2048
436,2048
437,2048
438,2047
439,2045
440,2048
441,2048
442,2048
443,2048
444,2048
445,2048
446,2048
447,2048
448,2048
449,2048
450,2048
451,2048
452,2048
453,2048
454,2048
455,2048
456,2048
457,2048
458,2048
459,2048
460,2048
461,2048
462,2048
463,2048
464,2048
465,2047
466,2048
467,2048
468,2048
469,2048
470,2048
471,2048
472,2048
473,2048
474,2048
475,2048
476,2048
477,2048
478,2048
479,2045
480,2048
481,2048
482,2048
483,2048
484,2048
485,2048
486,2048
487,2046
488,2048
489,2048
490,2048
491,2048
492,2048
493,2047
494,2048
495,2048
496,2048
497,2048
498,2048
499,2045
500,2048
501,2048
502,2048
503,2048
504,2048
505,2048
506,2048
507,2048
508,2048
509,2048
510,2048
511,2048
512,2048
513,2048
514,2048
515,2048
516,2048
517,2048
518,2048
519,2048
520,2048
521,2048
522,2048
523,2048
524,2048
525,2048
526,2048
527,2048
528,2048
529,2048
530,2048
531,2045
532,2048
533,2048
534,2048
535,2048
536,2048
537,2048
538,2048
539,2048
540,2048
541,2048
542,2048
543,2048
544,2048
545,2047
546,2048
547,2048
548,2048
549,2048
550,2048
551,2048
552,2048
553,2048
554,2048
555,2048
556,2048
557,2048
558,2048
559,2048
560,2048
561,2048
562,2048
563,2048
564,2048
565,2047
566,2048
567,2048
568,2048
569,2048
570,2048
571,2047
572,2048
573,2048
574,2048
575,2048
576,2048
577,2048
578,2048
579,2048
580,2048
581,2048
582,2048
583,2048
584,2048
585,2047
586,2048
587,2048
588,2048
589,2048
590,2048
591,2048
592,2048
593,2048
594,2048
595,2048
596,2047
597,2048
598,2048
599,2048
600,2048
601,2045
602,2048
603,2048
604,2048
605,2048
606,2048
607,2042
608,2048
609,2047
610,2048
611,2048
612,2048
613,2048
614,2048
615,2048
616,2048
617,2048
618,2048
619,2046
620,2048
621,2048
622,2048
623,2046
624,2048
625,2047
626,2048
627,2048
628,2048
629,2048
630,2048
631,2048
632,2048
633,2046
634,2048
635,2048
636,2048
637,2048
638,2048
639,2048
640,2048
641,2047
642,2048
643,2048
644,2048
645,2048
646,2048
647,2048
648,2048
649,2048
650,2048
651,2048
652,2048
653,2048
654,2048
655,2048
656,2048
657,2048
658,2048
659,2048
660,2047
661,2048
662,2047
663,2046
664,2048
665,2048
666,2048
667,2048
668,2048
669,2048
670,2048
671,2048
672,2048
673,2048
674,2048
675,2045
676,2048
677,2048
678,2046
679,2048
680,2048
681,2048
682,2048
683,2048
684,2048
685,2048
686,2047
687,2048
688,2047
689,2044
690,2048
691,2048
692,2048
693,2048
694,2048
695,2048
696,2048
697,2048
698,2048
699,2048
700,2048
701,2048
702,2048
703,2048
704,2048
705,2048
706,2048
707,2048
708,2042
709,2048
710,2048
711,2048
712,2048
713,2048
714,2048
715,2046
716,2048
717,2048
718,2048
719,2048
720,2048
721,2048
722,2048
723,2048
724,2048
725,2048
726,2047
727,2048
728,2047
729,2047
730,2048
731,2048
732,2048
733,2048
734,2048
735,2048
736,2048
737,2048
738,2048
739,2048
740,2048
741,2048
742,2048
743,2048
744,2048
745,2048
746,2048
747,2047
748,2048
749,2048
750,2048
751,2048
752,2048
753,2048
754,2048
755,2048
756,2048
757,2048
758,2047
759,2048
760,2048
761,2048
762,2048
763,2047
764,2048
765,2048
766,2048
767,2048
768,2048
769,2048
770,2048
771,2048
772,2048
773,2048
774,2048
775,2048
776,2048
777,2048
778,2048
779,2048
780,2048
781,2048
782,2048
783,2048
784,2048
785,2048
786,2048
787,2048
788,2048
789,2048
790,2048
791,2048
792,2047
793,2048
794,2048
795,2048
796,2048
797,2048
798,2046
799,2048
800,2048
801,2048
802,2048
803,2048
804,2048
805,2048
806,2048
807,2048
808,2048
809,2048
810,2048
811,2047
812,2048
813,2048
814,2048
815,2048
816,2048
817,2048
818,2048
819,2048
820,2048
821,2048
822,2048
823,2048
824,2048
825,2048
826,2048
827,2047
828,2048
829,2048
830,2048
831,2048
832,2048
833,2048
834,2048
835,2048
836,2048
837,2048
838,2048
839,2048
840,2048
841,2048
842,2048
843,2048
844,2048
845,2048
846,2048
847,2048
848,2048
849,2048
850,2048
851,2048
852,2048
853,2048
854,2048
855,2048
856,2048
857,2048
858,2048
859,2048
860,2048
861,2048
862,2045
863,2048
864,2048
865,2048
866,2048
867,2046
868,2048
869,2048
870,2048
871,2048
872,2048
873,2048
874,2046
875,2048
876,2048
877,2048
878,2047
879,2048
880,2048
881,2048
882,2048
883,2048
884,2048
885,2045
886,2048
887,2048
888,2047
889,2048
890,2048
891,2048
892,2048
893,2048
894,2047
895,2048
896,2048
897,2048
898,2048
899,2048
900,2048
901,2048
902,2048
903,2048
904,2048
905,2048
906,2048
907,2048
908,2048
909,2048
910,2048
911,2048
912,2048
913,2048
914,2048
915,2048
916,2048
917,2048
918,2048
919,2048
920,2048
921,2048
922,2048
923,2048
924,2048
925,2048
926,2047
927,2048
928,2048
929,2048
930,2048
931,2048
932,2048
933,2048
934,2048
935,2048
936,2048
937,2047
938,2048
939,2048
940,2048
941,2048
942,2048
943,2048
944,2048
945,2048
946,2048
947,2048
948,2048
949,2048
950,2047
951,2048
952,2048
953,2048
954,2048
955,2048
956,2048
957,2047
958,2048
959,2047
960,2048
961,2048
962,2048
963,2048
964,2048
965,2048
966,2048
967,2048
968,2048
969,2048
970,2048
971,2048
972,2048
973,2048
974,2048
975,2048
976,2048
977,2048
978,2048
979,2048
980,2048
981,2048
982,2048
983,2048
984,2047
985,2045
986,2032
987,2048
988,2048
989,2048
990,2048
991,2048
992,2048
993,2047
994,2048
995,2035
996,2048
997,2048
998,2048
999,2048
